sort_order,namespace,object_id,property_path,value_type,unit,source_sheet,source_cell,required,include_runtime,notes_ru
25,global,root,global.damage.dodge_min,fp,fp,Global Config,D30,1,1,Минимальный шанс Dodge
26,global,root,global.damage.dodge_max,fp,fp,Global Config,D31,1,1,Максимальный шанс Dodge
27,global,root,global.damage.speed_baseline,int,rating,Global Config,D32,1,1,Базовый ActionSpeed
28,global,root,global.damage.speed_slope,fp,fp/rating,Global Config,D33,1,1,Влияние ActionSpeed
29,global,root,global.damage.speed_min,fp,fp,Global Config,D34,1,1,Минимальный speed multiplier
30,global,root,global.damage.speed_max,fp,fp,Global Config,D35,1,1,Максимальный speed multiplier
31,global,root,analysis.benchmark_armor,int,rating,Global Config,D36,1,1,Броня для сравнительного урона
32,global,root,global.control.control_k,int,rating,Global Config,D37,1,1,Константа контроля
33,global,root,global.control.force_k,int,rating,Global Config,D38,1,1,Константа массы и силы
34,global,root,global.control.stun_min_ticks,int,ticks,Global Config,D39,1,1,Минимальное оглушение
35,global,root,global.control.stun_max_ticks,int,ticks,Global Config,D40,1,1,Максимальное оглушение
36,global,root,global.control.fatigue_threshold,int,stacks,Global Config,D41,1,1,Стаки до immunity
37,global,root,global.control.fatigue_decay_ticks,int,ticks,Global Config,D42,1,1,Время сброса fatigue
38,global,root,global.control.immunity_ticks,int,ticks,Global Config,D43,1,1,Окно ControlImmunity
39,global,root,global.control.grab_lockout_ticks,int,ticks,Global Config,D44,1,1,Запрет повторного grab
40,global,root,global.control.wakeup_immunity_ticks,int,ticks,Global Config,D45,1,1,Защита после KnockedDown
41,global,root,global.control.max_hold_ticks,int,ticks,Global Config,D46,1,1,Глобальный предел захвата
42,global,root,global.ai.repeat_same_action_fp,fp,fp,Global Config,D47,1,1,Штраф повтора ActionId
43,global,root,global.ai.repeat_same_category_fp,fp,fp,Global Config,D48,1,1,Штраф повтора категории
44,global,root,global.ai.opportunity_growth_fp,fp,fp/eligible miss,Global Config,D49,1,1,Рост signature opportunity
45,global,root,global.ai.opportunity_cap_fp,fp,fp,Global Config,D50,1,1,Предел opportunity multiplier
46,global,root,global.ai.hard_opportunity_misses,int,count,Global Config,D51,1,1,Eligible misses до hard opportunity
47,global,root,global.ai.default_perception_delay_ticks,int,ticks,Global Config,D52,1,1,Базовая задержка распознавания
48,global,root,state.idle.energy_regen_fp,fp,fp,Global Config,D53,1,1,Регенерация в Idle
49,global,root,state.prepare.energy_regen_fp,fp,fp,Global Config,D54,1,1,Регенерация в Prepare
50,global,root,state.active.energy_regen_fp,fp,fp,Global Config,D55,1,1,Регенерация в Active
51,global,root,state.recovery.energy_regen_fp,fp,fp,Global Config,D56,1,1,Регенерация в Recovery
52,global,root,state.block.energy_regen_fp,fp,fp,Global Config,D57,1,1,Регенерация в Block
53,global,root,state.dodge.energy_regen_fp,fp,fp,Global Config,D58,1,1,Регенерация в Dodge
54,global,root,state.stunned.energy_regen_fp,fp,fp,Global Config,D59,1,1,Регенерация в Stunned
55,global,root,state.knocked_down.energy_regen_fp,fp,fp,Global Config,D60,1,1,Регенерация в KnockedDown
56,global,root,state.grabbed.energy_regen_fp,fp,fp,Global Config,D61,1,1,Регенерация в Grabbed
57,global,root,fighter.bear.rage_per_damage_fp,fp,fp,Global Config,D62,1,1,Ярость за полученный урон
58,global,root,fighter.bear.rage_per_heavy,int,resource,Global Config,D63,1,1,Ярость за heavy hit
59,global,root,fighter.bear.rage_per_blocked_heavy,int,resource,Global Config,D64,1,1,Ярость за blocked heavy
60,global,root,fighter.bear.low_health_threshold_fp,fp,fp,Global Config,D65,1,1,Порог low health
61,global,root,fighter.bear.low_health_rage_multiplier_fp,fp,fp,Global Config,D66,1,1,Множитель ярости при low health
62,global,root,fighter.bear.rage_tier_1,int,resource,Global Config,D67,1,1,Порог Rage I
63,global,root,fighter.bear.rage_tier_2,int,resource,Global Config,D68,1,1,Порог Rage II
64,global,root,fighter.bear.rage_tier_3,int,resource,Global Config,D69,1,1,Порог Rage III
65,global,root,fighter.kangaroo.tempo_per_unit_fp,fp,fp/position,Global Config,D70,1,1,Темп за добровольное движение
66,global,root,fighter.kangaroo.dodge_bonus,int,resource,Global Config,D71,1,1,Темп за успешный Dodge
67,global,root,fighter.kangaroo.rhythm_bonus,int,resource,Global Config,D72,1,1,Темп за новую категорию
68,global,root,fighter.kangaroo.decay_grace_ticks,int,ticks,Global Config,D73,1,1,Пауза до распада темпа
69,global,root,fighter.kangaroo.idle_decay_per_tick,int,resource/tick,Global Config,D74,1,1,Распад темпа после grace
70,global,root,fighter.kangaroo.break_loss,int,resource,Global Config,D75,1,1,Потеря от interrupt/hard control
71,global,root,fighter.kangaroo.tempo_tier_1,int,resource,Global Config,D76,1,1,Порог Tempo I
72,global,root,fighter.kangaroo.tempo_tier_2,int,resource,Global Config,D77,1,1,Порог Tempo II
73,global,root,fighter.kangaroo.tempo_tier_3,int,resource,Global Config,D78,1,1,Порог Tempo III
74,global,root,fighter.gorilla.grip_per_block,int,resource,Global Config,D79,1,1,Хватка за успешный Block
75,global,root,fighter.gorilla.grip_per_shove,int,resource,Global Config,D80,1,1,Хватка за Driving Shove
76,global,root,fighter.gorilla.grip_per_grab,int,resource,Global Config,D81,1,1,Хватка за resolved grab
77,global,root,fighter.gorilla.grip_per_wall_tick,int,resource,Global Config,D82,1,1,Хватка за wall pressure tick
78,global,root,fighter.gorilla.wall_tick_interval,int,ticks,Global Config,D83,1,1,Интервал wall pressure
79,global,root,fighter.gorilla.disengage_grace_ticks,int,ticks,Global Config,D84,1,1,Пауза до потери хватки
80,global,root,fighter.gorilla.disengage_loss_per_tick,int,resource/tick,Global Config,D85,1,1,Потеря хватки вне engagement
81,global,root,fighter.gorilla.hard_control_loss,int,resource,Global Config,D86,1,1,Потеря от собственного hard control
82,global,root,fighter.gorilla.grip_tier_1,int,resource,Global Config,D87,1,1,Порог Grip I
83,global,root,fighter.gorilla.grip_tier_2,int,resource,Global Config,D88,1,1,Порог Grip II
84,global,root,fighter.gorilla.grip_tier_3,int,resource,Global Config,D89,1,1,Порог Grip III
85,fighter,bear,animal_id,string,,Fighter Stats,A6,1,1,Источник Fighter Stats.Animal ID
86,fighter,bear,resource_id,string,,Fighter Stats,C6,1,1,Источник Fighter Stats.Resource ID
87,fighter,bear,max_health,int,,Fighter Stats,D6,1,1,Источник Fighter Stats.Max Health
88,fighter,bear,power,int,,Fighter Stats,E6,1,1,Источник Fighter Stats.Power
89,fighter,bear,armor,int,,Fighter Stats,F6,1,1,Источник Fighter Stats.Armor
90,fighter,bear,precision,int,,Fighter Stats,G6,1,1,Источник Fighter Stats.Precision
91,fighter,bear,evasion,int,,Fighter Stats,H6,1,1,Источник Fighter Stats.Evasion
92,fighter,bear,guard,int,,Fighter Stats,I6,1,1,Источник Fighter Stats.Guard
93,fighter,bear,guard_break,int,,Fighter Stats,J6,1,1,Источник Fighter Stats.Guard Break
94,fighter,bear,move_speed,int,,Fighter Stats,K6,1,1,Источник Fighter Stats.Move Speed
95,fighter,bear,action_speed,int,,Fighter Stats,L6,1,1,Источник Fighter Stats.Action Speed
96,fighter,bear,initiative,int,,Fighter Stats,M6,1,1,Источник Fighter Stats.Initiative
97,fighter,bear,control_power,int,,Fighter Stats,N6,1,1,Источник Fighter Stats.Control Power
98,fighter,bear,control_resistance,int,,Fighter Stats,O6,1,1,Источник Fighter Stats.Control Resistance
99,fighter,bear,mass,int,,Fighter Stats,P6,1,1,Источник Fighter Stats.Mass
100,fighter,bear,max_energy,int,,Fighter Stats,Q6,1,1,Источник Fighter Stats.Max Energy
101,fighter,bear,energy_regen,int,,Fighter Stats,R6,1,1,Источник Fighter Stats.Energy Regen / tick
102,fighter,bear,collision_radius,int,,Fighter Stats,S6,1,1,Источник Fighter Stats.Collision Radius
103,fighter,bear,start_resource,int,,Fighter Stats,T6,1,1,Источник Fighter Stats.Start Resource
104,fighter,bear,max_resource,int,,Fighter Stats,U6,1,1,Источник Fighter Stats.Max Resource
105,fighter,bear,stagger_threshold,int,,Fighter Stats,V6,1,1,Источник Fighter Stats.Stagger Threshold
106,fighter,kangaroo,animal_id,string,,Fighter Stats,A7,1,1,Источник Fighter Stats.Animal ID
107,fighter,kangaroo,resource_id,string,,Fighter Stats,C7,1,1,Источник Fighter Stats.Resource ID
108,fighter,kangaroo,max_health,int,,Fighter Stats,D7,1,1,Источник Fighter Stats.Max Health
109,fighter,kangaroo,power,int,,Fighter Stats,E7,1,1,Источник Fighter Stats.Power
110,fighter,kangaroo,armor,int,,Fighter Stats,F7,1,1,Источник Fighter Stats.Armor
111,fighter,kangaroo,precision,int,,Fighter Stats,G7,1,1,Источник Fighter Stats.Precision
112,fighter,kangaroo,evasion,int,,Fighter Stats,H7,1,1,Источник Fighter Stats.Evasion
113,fighter,kangaroo,guard,int,,Fighter Stats,I7,1,1,Источник Fighter Stats.Guard
114,fighter,kangaroo,guard_break,int,,Fighter Stats,J7,1,1,Источник Fighter Stats.Guard Break
115,fighter,kangaroo,move_speed,int,,Fighter Stats,K7,1,1,Источник Fighter Stats.Move Speed
116,fighter,kangaroo,action_speed,int,,Fighter Stats,L7,1,1,Источник Fighter Stats.Action Speed
117,fighter,kangaroo,initiative,int,,Fighter Stats,M7,1,1,Источник Fighter Stats.Initiative
118,fighter,kangaroo,control_power,int,,Fighter Stats,N7,1,1,Источник Fighter Stats.Control Power
119,fighter,kangaroo,control_resistance,int,,Fighter Stats,O7,1,1,Источник Fighter Stats.Control Resistance
120,fighter,kangaroo,mass,int,,Fighter Stats,P7,1,1,Источник Fighter Stats.Mass
121,fighter,kangaroo,max_energy,int,,Fighter Stats,Q7,1,1,Источник Fighter Stats.Max Energy
122,fighter,kangaroo,energy_regen,int,,Fighter Stats,R7,1,1,Источник Fighter Stats.Energy Regen / tick
123,fighter,kangaroo,collision_radius,int,,Fighter Stats,S7,1,1,Источник Fighter Stats.Collision Radius
124,fighter,kangaroo,start_resource,int,,Fighter Stats,T7,1,1,Источник Fighter Stats.Start Resource
125,fighter,kangaroo,max_resource,int,,Fighter Stats,U7,1,1,Источник Fighter Stats.Max Resource
126,fighter,kangaroo,stagger_threshold,int,,Fighter Stats,V7,1,1,Источник Fighter Stats.Stagger Threshold
127,fighter,gorilla,animal_id,string,,Fighter Stats,A8,1,1,Источник Fighter Stats.Animal ID
128,fighter,gorilla,resource_id,string,,Fighter Stats,C8,1,1,Источник Fighter Stats.Resource ID
129,fighter,gorilla,max_health,int,,Fighter Stats,D8,1,1,Источник Fighter Stats.Max Health
130,fighter,gorilla,power,int,,Fighter Stats,E8,1,1,Источник Fighter Stats.Power
131,fighter,gorilla,armor,int,,Fighter Stats,F8,1,1,Источник Fighter Stats.Armor
132,fighter,gorilla,precision,int,,Fighter Stats,G8,1,1,Источник Fighter Stats.Precision
133,fighter,gorilla,evasion,int,,Fighter Stats,H8,1,1,Источник Fighter Stats.Evasion
134,fighter,gorilla,guard,int,,Fighter Stats,I8,1,1,Источник Fighter Stats.Guard
135,fighter,gorilla,guard_break,int,,Fighter Stats,J8,1,1,Источник Fighter Stats.Guard Break
136,fighter,gorilla,move_speed,int,,Fighter Stats,K8,1,1,Источник Fighter Stats.Move Speed
137,fighter,gorilla,action_speed,int,,Fighter Stats,L8,1,1,Источник Fighter Stats.Action Speed
138,fighter,gorilla,initiative,int,,Fighter Stats,M8,1,1,Источник Fighter Stats.Initiative
139,fighter,gorilla,control_power,int,,Fighter Stats,N8,1,1,Источник Fighter Stats.Control Power
140,fighter,gorilla,control_resistance,int,,Fighter Stats,O8,1,1,Источник Fighter Stats.Control Resistance
141,fighter,gorilla,mass,int,,Fighter Stats,P8,1,1,Источник Fighter Stats.Mass
142,fighter,gorilla,max_energy,int,,Fighter Stats,Q8,1,1,Источник Fighter Stats.Max Energy
143,fighter,gorilla,energy_regen,int,,Fighter Stats,R8,1,1,Источник Fighter Stats.Energy Regen / tick
144,fighter,gorilla,collision_radius,int,,Fighter Stats,S8,1,1,Источник Fighter Stats.Collision Radius
145,fighter,gorilla,start_resource,int,,Fighter Stats,T8,1,1,Источник Fighter Stats.Start Resource
146,fighter,gorilla,max_resource,int,,Fighter Stats,U8,1,1,Источник Fighter Stats.Max Resource
147,fighter,gorilla,stagger_threshold,int,,Fighter Stats,V8,1,1,Источник Fighter Stats.Stagger Threshold
148,action,sys_approach,action_id,string,,Actions,A6,1,1,Источник Actions.Action ID
149,action,sys_approach,animal_id,string,,Actions,B6,1,1,Источник Actions.Animal ID
150,action,sys_approach,slot_type,string,,Actions,D6,1,1,Источник Actions.Slot Type
151,action,sys_approach,category,string,,Actions,E6,1,1,Источник Actions.Category
152,action,sys_approach,tags,string,,Actions,F6,1,1,Источник Actions.Tags
153,action,sys_approach,base_weight,int,,Actions,G6,1,1,Источник Actions.Base Weight
154,action,sys_approach,preferred_range_min,int,,Actions,H6,1,1,Источник Actions.Preferred Range Min
155,action,sys_approach,preferred_range_max,int,,Actions,I6,1,1,Источник Actions.Preferred Range Max
156,action,sys_approach,hit_range_min,int,,Actions,J6,1,1,Источник Actions.Hit Range Min
157,action,sys_approach,hit_range_max,int,,Actions,K6,1,1,Источник Actions.Hit Range Max
158,action,sys_approach,energy_cost,int,,Actions,L6,1,1,Источник Actions.Energy Cost
159,action,sys_approach,resource_cost,int,,Actions,M6,1,1,Источник Actions.Resource Cost
160,action,sys_approach,base_damage,int,,Actions,N6,1,1,Источник Actions.Base Damage / hit
161,action,sys_approach,power_ratio_fp,int,,Actions,O6,1,1,Источник Actions.Power Ratio FP
162,action,sys_approach,min_damage,int,,Actions,P6,1,1,Источник Actions.Min Damage
163,action,sys_approach,chip_min,int,,Actions,Q6,1,1,Источник Actions.Chip Min
164,action,sys_approach,startup_base_ticks,int,,Actions,R6,1,1,Источник Actions.Startup Base Ticks
165,action,sys_approach,startup_min_ticks,int,,Actions,S6,1,1,Источник Actions.Startup Min Ticks
166,action,sys_approach,startup_max_ticks,int,,Actions,T6,1,1,Источник Actions.Startup Max Ticks
167,action,sys_approach,active_ticks,int,,Actions,U6,1,1,Источник Actions.Active Ticks
168,action,sys_approach,hit_schedule,string,,Actions,V6,1,1,Источник Actions.Hit Schedule
169,action,sys_approach,hit_count,int,,Actions,W6,1,1,Источник Actions.Hit Count
170,action,sys_approach,recovery_base_ticks,int,,Actions,X6,1,1,Источник Actions.Recovery Base Ticks
171,action,sys_approach,recovery_min_ticks,int,,Actions,Y6,1,1,Источник Actions.Recovery Min Ticks
172,action,sys_approach,recovery_max_ticks,int,,Actions,Z6,1,1,Источник Actions.Recovery Max Ticks
173,action,sys_approach,cooldown_ticks,int,,Actions,AA6,1,1,Источник Actions.Cooldown Ticks
174,action,sys_approach,action_priority,int,,Actions,AB6,1,1,Источник Actions.Action Priority
175,action,sys_approach,clash_priority,int,,Actions,AC6,1,1,Источник Actions.Clash Priority
176,action,sys_approach,grab_priority,int,,Actions,AD6,1,1,Источник Actions.Grab Priority
177,action,sys_approach,resolution_priority,int,,Actions,AE6,1,1,Источник Actions.Resolution Priority
178,action,sys_approach,interrupt_profile,string,,Actions,AF6,1,1,Источник Actions.Interrupt Profile
179,action,sys_approach,blockable,bool,,Actions,AG6,1,1,Источник Actions.Blockable
180,action,sys_approach,dodgeable,bool,,Actions,AH6,1,1,Источник Actions.Dodgeable
181,action,sys_approach,undodgeable,bool,,Actions,AI6,1,1,Источник Actions.Undodgeable
182,action,sys_approach,wall_impact,bool,,Actions,AJ6,1,1,Источник Actions.Wall Impact
183,action,sys_approach,track_target,bool,,Actions,AK6,1,1,Источник Actions.Track Target
184,action,sys_approach,block_base_chance_fp,int,,Actions,AL6,1,1,Источник Actions.Block Base Chance FP
185,action,sys_approach,block_reduction_fp,int,,Actions,AM6,1,1,Источник Actions.Block Reduction FP
186,action,sys_approach,dodge_base_chance_fp,int,,Actions,AN6,1,1,Источник Actions.Dodge Base Chance FP
187,action,sys_approach,movement_mode,string,,Actions,AO6,1,1,Источник Actions.Movement Mode
188,action,sys_approach,move_distance,int,,Actions,AP6,1,1,Источник Actions.Move Distance
189,action,sys_approach,base_stagger,int,,Actions,AQ6,1,1,Источник Actions.Base Stagger
190,action,sys_approach,base_stun_ticks,int,,Actions,AR6,1,1,Источник Actions.Base Stun Ticks
191,action,sys_approach,base_knockback,int,,Actions,AS6,1,1,Источник Actions.Base Knockback
192,action,sys_approach,knockback_min,int,,Actions,AT6,1,1,Источник Actions.Knockback Min
193,action,sys_approach,knockback_max,int,,Actions,AU6,1,1,Источник Actions.Knockback Max
194,action,sys_approach,wall_damage_per_unit_fp,int,,Actions,AV6,1,1,Источник Actions.Wall Damage / Unit FP
195,action,sys_approach,wall_damage_min,int,,Actions,AW6,1,1,Источник Actions.Wall Damage Min
196,action,sys_approach,wall_damage_max,int,,Actions,AX6,1,1,Источник Actions.Wall Damage Max
197,action,sys_approach,max_consecutive_uses,int,,Actions,AY6,1,1,Источник Actions.Max Consecutive Uses
198,action,sys_approach,opportunity_cap_fp,int,,Actions,AZ6,1,1,Источник Actions.Opportunity Cap FP
199,action,sys_approach,hard_opportunity_misses,int,,Actions,BA6,1,1,Источник Actions.Hard Opportunity Misses
200,action,sys_retreat,action_id,string,,Actions,A7,1,1,Источник Actions.Action ID
201,action,sys_retreat,animal_id,string,,Actions,B7,1,1,Источник Actions.Animal ID
202,action,sys_retreat,slot_type,string,,Actions,D7,1,1,Источник Actions.Slot Type
203,action,sys_retreat,category,string,,Actions,E7,1,1,Источник Actions.Category
204,action,sys_retreat,tags,string,,Actions,F7,1,1,Источник Actions.Tags
205,action,sys_retreat,base_weight,int,,Actions,G7,1,1,Источник Actions.Base Weight
206,action,sys_retreat,preferred_range_min,int,,Actions,H7,1,1,Источник Actions.Preferred Range Min
207,action,sys_retreat,preferred_range_max,int,,Actions,I7,1,1,Источник Actions.Preferred Range Max
208,action,sys_retreat,hit_range_min,int,,Actions,J7,1,1,Источник Actions.Hit Range Min
209,action,sys_retreat,hit_range_max,int,,Actions,K7,1,1,Источник Actions.Hit Range Max
210,action,sys_retreat,energy_cost,int,,Actions,L7,1,1,Источник Actions.Energy Cost
211,action,sys_retreat,resource_cost,int,,Actions,M7,1,1,Источник Actions.Resource Cost
212,action,sys_retreat,base_damage,int,,Actions,N7,1,1,Источник Actions.Base Damage / hit
213,action,sys_retreat,power_ratio_fp,int,,Actions,O7,1,1,Источник Actions.Power Ratio FP
214,action,sys_retreat,min_damage,int,,Actions,P7,1,1,Источник Actions.Min Damage
215,action,sys_retreat,chip_min,int,,Actions,Q7,1,1,Источник Actions.Chip Min
216,action,sys_retreat,startup_base_ticks,int,,Actions,R7,1,1,Источник Actions.Startup Base Ticks
217,action,sys_retreat,startup_min_ticks,int,,Actions,S7,1,1,Источник Actions.Startup Min Ticks
218,action,sys_retreat,startup_max_ticks,int,,Actions,T7,1,1,Источник Actions.Startup Max Ticks
219,action,sys_retreat,active_ticks,int,,Actions,U7,1,1,Источник Actions.Active Ticks
220,action,sys_retreat,hit_schedule,string,,Actions,V7,1,1,Источник Actions.Hit Schedule
221,action,sys_retreat,hit_count,int,,Actions,W7,1,1,Источник Actions.Hit Count
222,action,sys_retreat,recovery_base_ticks,int,,Actions,X7,1,1,Источник Actions.Recovery Base Ticks
223,action,sys_retreat,recovery_min_ticks,int,,Actions,Y7,1,1,Источник Actions.Recovery Min Ticks
224,action,sys_retreat,recovery_max_ticks,int,,Actions,Z7,1,1,Источник Actions.Recovery Max Ticks
225,action,sys_retreat,cooldown_ticks,int,,Actions,AA7,1,1,Источник Actions.Cooldown Ticks
226,action,sys_retreat,action_priority,int,,Actions,AB7,1,1,Источник Actions.Action Priority
227,action,sys_retreat,clash_priority,int,,Actions,AC7,1,1,Источник Actions.Clash Priority
228,action,sys_retreat,grab_priority,int,,Actions,AD7,1,1,Источник Actions.Grab Priority
229,action,sys_retreat,resolution_priority,int,,Actions,AE7,1,1,Источник Actions.Resolution Priority
230,action,sys_retreat,interrupt_profile,string,,Actions,AF7,1,1,Источник Actions.Interrupt Profile
231,action,sys_retreat,blockable,bool,,Actions,AG7,1,1,Источник Actions.Blockable
232,action,sys_retreat,dodgeable,bool,,Actions,AH7,1,1,Источник Actions.Dodgeable
233,action,sys_retreat,undodgeable,bool,,Actions,AI7,1,1,Источник Actions.Undodgeable
234,action,sys_retreat,wall_impact,bool,,Actions,AJ7,1,1,Источник Actions.Wall Impact
235,action,sys_retreat,track_target,bool,,Actions,AK7,1,1,Источник Actions.Track Target
236,action,sys_retreat,block_base_chance_fp,int,,Actions,AL7,1,1,Источник Actions.Block Base Chance FP
237,action,sys_retreat,block_reduction_fp,int,,Actions,AM7,1,1,Источник Actions.Block Reduction FP
238,action,sys_retreat,dodge_base_chance_fp,int,,Actions,AN7,1,1,Источник Actions.Dodge Base Chance FP
239,action,sys_retreat,movement_mode,string,,Actions,AO7,1,1,Источник Actions.Movement Mode
240,action,sys_retreat,move_distance,int,,Actions,AP7,1,1,Источник Actions.Move Distance
241,action,sys_retreat,base_stagger,int,,Actions,AQ7,1,1,Источник Actions.Base Stagger
242,action,sys_retreat,base_stun_ticks,int,,Actions,AR7,1,1,Источник Actions.Base Stun Ticks
243,action,sys_retreat,base_knockback,int,,Actions,AS7,1,1,Источник Actions.Base Knockback
244,action,sys_retreat,knockback_min,int,,Actions,AT7,1,1,Источник Actions.Knockback Min
245,action,sys_retreat,knockback_max,int,,Actions,AU7,1,1,Источник Actions.Knockback Max
246,action,sys_retreat,wall_damage_per_unit_fp,int,,Actions,AV7,1,1,Источник Actions.Wall Damage / Unit FP
247,action,sys_retreat,wall_damage_min,int,,Actions,AW7,1,1,Источник Actions.Wall Damage Min
248,action,sys_retreat,wall_damage_max,int,,Actions,AX7,1,1,Источник Actions.Wall Damage Max
249,action,sys_retreat,max_consecutive_uses,int,,Actions,AY7,1,1,Источник Actions.Max Consecutive Uses
250,action,sys_retreat,opportunity_cap_fp,int,,Actions,AZ7,1,1,Источник Actions.Opportunity Cap FP
251,action,sys_retreat,hard_opportunity_misses,int,,Actions,BA7,1,1,Источник Actions.Hard Opportunity Misses
252,action,sys_wait,action_id,string,,Actions,A8,1,1,Источник Actions.Action ID
253,action,sys_wait,animal_id,string,,Actions,B8,1,1,Источник Actions.Animal ID
254,action,sys_wait,slot_type,string,,Actions,D8,1,1,Источник Actions.Slot Type
255,action,sys_wait,category,string,,Actions,E8,1,1,Источник Actions.Category
256,action,sys_wait,tags,string,,Actions,F8,1,1,Источник Actions.Tags
257,action,sys_wait,base_weight,int,,Actions,G8,1,1,Источник Actions.Base Weight
258,action,sys_wait,preferred_range_min,int,,Actions,H8,1,1,Источник Actions.Preferred Range Min
259,action,sys_wait,preferred_range_max,int,,Actions,I8,1,1,Источник Actions.Preferred Range Max
260,action,sys_wait,hit_range_min,int,,Actions,J8,1,1,Источник Actions.Hit Range Min
261,action,sys_wait,hit_range_max,int,,Actions,K8,1,1,Источник Actions.Hit Range Max
262,action,sys_wait,energy_cost,int,,Actions,L8,1,1,Источник Actions.Energy Cost
263,action,sys_wait,resource_cost,int,,Actions,M8,1,1,Источник Actions.Resource Cost
264,action,sys_wait,base_damage,int,,Actions,N8,1,1,Источник Actions.Base Damage / hit
265,action,sys_wait,power_ratio_fp,int,,Actions,O8,1,1,Источник Actions.Power Ratio FP
266,action,sys_wait,min_damage,int,,Actions,P8,1,1,Источник Actions.Min Damage
267,action,sys_wait,chip_min,int,,Actions,Q8,1,1,Источник Actions.Chip Min
268,action,sys_wait,startup_base_ticks,int,,Actions,R8,1,1,Источник Actions.Startup Base Ticks
269,action,sys_wait,startup_min_ticks,int,,Actions,S8,1,1,Источник Actions.Startup Min Ticks
270,action,sys_wait,startup_max_ticks,int,,Actions,T8,1,1,Источник Actions.Startup Max Ticks
271,action,sys_wait,active_ticks,int,,Actions,U8,1,1,Источник Actions.Active Ticks
272,action,sys_wait,hit_schedule,string,,Actions,V8,1,1,Источник Actions.Hit Schedule
273,action,sys_wait,hit_count,int,,Actions,W8,1,1,Источник Actions.Hit Count
274,action,sys_wait,recovery_base_ticks,int,,Actions,X8,1,1,Источник Actions.Recovery Base Ticks
275,action,sys_wait,recovery_min_ticks,int,,Actions,Y8,1,1,Источник Actions.Recovery Min Ticks
276,action,sys_wait,recovery_max_ticks,int,,Actions,Z8,1,1,Источник Actions.Recovery Max Ticks
277,action,sys_wait,cooldown_ticks,int,,Actions,AA8,1,1,Источник Actions.Cooldown Ticks
278,action,sys_wait,action_priority,int,,Actions,AB8,1,1,Источник Actions.Action Priority
279,action,sys_wait,clash_priority,int,,Actions,AC8,1,1,Источник Actions.Clash Priority
280,action,sys_wait,grab_priority,int,,Actions,AD8,1,1,Источник Actions.Grab Priority
281,action,sys_wait,resolution_priority,int,,Actions,AE8,1,1,Источник Actions.Resolution Priority
282,action,sys_wait,interrupt_profile,string,,Actions,AF8,1,1,Источник Actions.Interrupt Profile
283,action,sys_wait,blockable,bool,,Actions,AG8,1,1,Источник Actions.Blockable
284,action,sys_wait,dodgeable,bool,,Actions,AH8,1,1,Источник Actions.Dodgeable
285,action,sys_wait,undodgeable,bool,,Actions,AI8,1,1,Источник Actions.Undodgeable
286,action,sys_wait,wall_impact,bool,,Actions,AJ8,1,1,Источник Actions.Wall Impact
287,action,sys_wait,track_target,bool,,Actions,AK8,1,1,Источник Actions.Track Target
288,action,sys_wait,block_base_chance_fp,int,,Actions,AL8,1,1,Источник Actions.Block Base Chance FP
289,action,sys_wait,block_reduction_fp,int,,Actions,AM8,1,1,Источник Actions.Block Reduction FP
